11,17,11
92,103,111
10,9,6
22,36,29
0,1,0
0,0,1
322,347,408
220,291,288
2,4,4
0,0,3
14,20,14
1,6,2
118,148,152
5,2,8
525,570,610
59,70,63
7,8,12
2,4,3
6,4,4
18,11,15
4,2,0
0,1,0
182,168,216
5,7,4
182,271,253
2,7,3
1,3,1
3,1,0
39,48,39
675,803,845
96,108,118
215,209,256
5,4,2
11,5,10
665,794,766
200,223,224
0,1,2
11,8,11
5,5,6
1,0,0
5,3,6
433,445,456
6,8,15
224,240,276
39,44,53
198,206,216
294,324,355
28,32,36
35,50,54
14,16,15
3,7,3
8,13,12
464,481,566
2,3,5
2,1,1
173,183,223
99,98,116
